DATE COLLECTED,SITE ,ECOSYSTEM,CHAMBER #,TIME POINT,GC RUN DATE,FILENAME,NOTES
9/30/22,JWP,SW-1,1,T0,11/29/22,220930_001,
9/30/22,JWP,SW-1,1,T1,11/29/22,220930_002,
9/30/22,JWP,SW-1,1,T2,11/29/22,220930_003,
9/30/22,JWP,SW-1,1,T3,11/29/22,220930_004,
9/30/22,JWP,SW-1,1,T4,11/29/22,220930_005,
9/30/22,JWP,SW-1,2,T0,11/29/22,220930_006,
9/30/22,JWP,SW-1,2,T1,11/29/22,220930_007,
9/30/22,JWP,SW-1,2,T2,11/29/22,220930_008,
9/30/22,JWP,SW-1,2,T3,11/29/22,220930_009,
9/30/22,JWP,SW-1,2,T4,11/29/22,220930_010,
N/A,STD,N/A,N/A,N/A,11/29/22,220930_011,
N/A,STD,N/A,N/A,N/A,11/29/22,220930_012,
9/30/22,JWP,SW-1,3,T0,11/29/22,220930_013,
9/30/22,JWP,SW-1,3,T1,11/29/22,220930_014,
9/30/22,JWP,SW-1,3,T2,11/29/22,220930_015,
9/30/22,JWP,SW-1,3,T3,11/29/22,220930_016,
9/30/22,JWP,SW-1,3,T4,11/29/22,220930_017,
9/30/22,JWP,SW-1,4,T0,11/29/22,220930_018,
9/30/22,JWP,SW-1,4,T1,11/29/22,220930_019,
9/30/22,JWP,SW-1,4,T2,11/29/22,220930_020,
9/30/22,JWP,SW-1,4,T3,11/29/22,220930_021,
9/30/22,JWP,SW-1,4,T4,11/29/22,220930_022,
N/A,STD,N/A,N/A,N/A,11/29/22,220930_023,
9/30/22,JWP,UP-1,1,T0,11/29/22,220930_024,
9/30/22,JWP,UP-1,1,T1,11/29/22,220930_025,less than 5 ml pulled
9/30/22,JWP,UP-1,1,T2,11/29/22,220930_026,less than 5 ml pulled
9/30/22,JWP,UP-1,1,T3,11/29/22,220930_027,less than 5 ml pulled
9/30/22,JWP,UP-1,1,T4,11/29/22,220930_028,less than 5 ml pulled
N/A,STD,N/A,N/A,N/A,11/30/22,220930_029,
N/A,STD,N/A,N/A,N/A,11/30/22,220930_030,
N/A,STD,N/A,N/A,N/A,11/30/22,220930_031,
N/A,STD,N/A,N/A,N/A,11/30/22,220930_032,
N/A,STD,N/A,N/A,N/A,11/30/22,220930_033,
9/30/22,JWP,UP-1,2,T0,11/30/22,220930_034,
9/30/22,JWP,UP-1,2,T1,11/30/22,220930_035,
9/30/22,JWP,UP-1,2,T2,11/30/22,220930_036,
9/30/22,JWP,UP-1,2,T3,11/30/22,220930_037,
9/30/22,JWP,UP-1,2,T4,11/30/22,220930_038,
9/30/22,JWP,UP-1,3,T0,11/30/22,220930_039,
9/30/22,JWP,UP-1,3,T1,11/30/22,220930_040,
9/30/22,JWP,UP-1,3,T2,11/30/22,220930_041,
9/30/22,JWP,UP-1,3,T3,11/30/22,220930_042,
9/30/22,JWP,UP-1,3,T4,11/30/22,220930_043,
N/A,STD,N/A,N/A,N/A,11/30/22,220930_044,
9/30/22,JWP,UP-1,4,T0,11/30/22,220930_045,
9/30/22,JWP,UP-1,4,T1,11/30/22,220930_046,
9/30/22,JWP,UP-1,4,T2,11/30/22,220930_047,
9/30/22,JWP,UP-1,4,T3,11/30/22,220930_048,
9/30/22,JWP,UP-1,4,T4,11/30/22,220930_049,
9/30/22,JWP,SW-2,1,T0,11/30/22,220930_050,
9/30/22,JWP,SW-2,1,T1,11/30/22,220930_051,
9/30/22,JWP,SW-2,1,T2,11/30/22,220930_052,
9/30/22,JWP,SW-2,1,T3,11/30/22,220930_053,
9/30/22,JWP,SW-2,1,T4,11/30/22,220930_054,
N/A,STD,N/A,N/A,N/A,11/30/22,220930_055,
9/30/22,JWP,SW-2,2,T0,11/30/22,220930_056,
9/30/22,JWP,SW-2,2,T1,11/30/22,220930_057,
9/30/22,JWP,SW-2,2,T2,11/30/22,220930_058,
9/30/22,JWP,SW-2,2,T3,11/30/22,220930_059,
9/30/22,JWP,SW-2,2,T4,11/30/22,220930_060,
9/30/22,JWP,SW-2,3,T0,12/1/22,220930_061,
9/30/22,JWP,SW-2,3,T1,12/1/22,220930_062,
9/30/22,JWP,SW-2,3,T2,12/1/22,220930_063,
9/30/22,JWP,SW-2,3,T3,12/1/22,220930_064,
9/30/22,JWP,SW-2,3,T4,12/1/22,220930_065,
N/A,STD,N/A,N/A,N/A,12/1/22,220930_066,
9/30/22,JWP,SW-2,4,T0,12/1/22,220930_067,
9/30/22,JWP,SW-2,4,T1,12/1/22,220930_068,
9/30/22,JWP,SW-2,4,T2,12/1/22,220930_069,
9/30/22,JWP,SW-2,4,T3,12/1/22,220930_070,
9/30/22,JWP,SW-2,4,T4,12/1/22,220930_071,
N/A,STD,N/A,N/A,N/A,12/2/22,220930_072,
N/A,STD,N/A,N/A,N/A,12/2/22,220930_073,
N/A,STD,N/A,N/A,N/A,12/2/22,220930_074,
N/A,STD,N/A,N/A,N/A,12/2/22,220930_075,
N/A,STD,N/A,N/A,N/A,12/2/22,220930_076,
9/30/22,JWP,UP-2,1,T0,12/2/22,,MISSING 
9/30/22,JWP,UP-2,1,T1,12/2/22,220930_077,
9/30/22,JWP,UP-2,1,T2,12/2/22,220930_078,
9/30/22,JWP,UP-2,1,T3,12/2/22,220930_079,
9/30/22,JWP,UP-2,1,T4,12/2/22,220930_080,
9/30/22,JWP,UP-2,2,T0,12/2/22,,MISSING 
9/30/22,JWP,UP-2,2,T1,12/2/22,220930_081,
9/30/22,JWP,UP-2,2,T2,12/2/22,220930_082,
9/30/22,JWP,UP-2,2,T3,12/2/22,220930_083,
9/30/22,JWP,UP-2,2,T4,12/2/22,220930_084,
N/A,STD,N/A,N/A,N/A,12/2/22,220930_085,
9/30/22,JWP,UP-2,3,T0,12/2/22,,MISSING 
9/30/22,JWP,UP-2,3,T1,12/2/22,220930_086,
9/30/22,JWP,UP-2,3,T2,12/2/22,220930_087,
9/30/22,JWP,UP-2,3,T3,12/2/22,220930_088,
9/30/22,JWP,UP-2,3,T4,12/2/22,220930_089,
9/30/22,JWP,UP-2,4,T0,12/2/22,220930_090,
9/30/22,JWP,UP-2,4,T1,12/2/22,220930_091,
9/30/22,JWP,UP-2,4,T2,12/2/22,220930_092,
9/30/22,JWP,UP-2,4,T3,12/2/22,220930_093,
9/30/22,JWP,UP-2,4,T4,12/2/22,220930_094,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
