date,ecosystem_name,ecosystem_block,rep,temp_start,temp_end,average_temp_kelvin
220812,SW,1,1,15,19.3,290.15
220812,SW,1,2,15,19.1,290.05
220812,SW,1,3,15,19.1,290.05
220812,SW,1,4,15,19.4,290.2
220812,SW,2,1,15,26.8,293.9
220812,SW,2,2,15,26.4,293.7
220812,SW,2,3,15,27.1,294.05
220812,SW,2,4,15,26.8,293.9
220812,UP,1,1,15,28.2,294.6
220812,UP,1,2,15,28.1,294.55
220812,UP,1,3,15,27.4,294.2
220812,UP,1,4,15,28.2,294.6
220812,UP,2,1,15,17.2,289.1
220812,UP,2,2,15,19.1,290.05
220812,UP,2,3,15,19.3,290.15
220812,UP,2,4,15,19.6,290.3
