chamber,gas,estimate,p.value,date,average_temp_kelvin,ecosystem_name,ecosystem_block,rep,total_vol_m3,flux,units
SW 1-1,co2,7.647650227676935,2.0652821704379613e-5,2023-05-18,295.65,SW,1,1,0.006385043,0.6687717835503406,umol_m2_s1
SW 1-2,co2,15.735542151539034,2.182778098821851e-4,2023-05-18,296.55,SW,1,2,0.007651811,1.644038554905067,umol_m2_s1
SW 1-3,co2,10.781759471628868,0.00261407694876035,2023-05-18,297.05,SW,1,3,0.006955088,1.0221783847784482,umol_m2_s1
SW 1-4,co2,14.29774702131708,1.0577749522995214e-4,2023-05-18,294.1,SW,1,4,0.01012201,1.9925229278695402,umol_m2_s1
SW 2-1,co2,42.60104372558706,8.250694133177324e-5,2023-05-18,304.15,SW,2,1,0.007588473,4.303787236903502,umol_m2_s1
SW 2-2,co2,28.137674308137644,6.267166822685185e-5,2023-05-18,304.35,SW,2,2,0.007145104,2.674776064611054,umol_m2_s1
SW 2-3,co2,23.887988996436555,1.7108113466356197e-4,2023-05-18,304.6,SW,2,3,0.007081765,2.2488225311634102,umol_m2_s1
SW 2-4,co2,33.53752284127661,0.00480098899181907,2023-05-18,303.95,SW,2,4,0.008538549,3.8148449407824625,umol_m2_s1
UP 1-1,co2,31.913173828838993,7.41785647416611e-5,2023-05-18,297.45,UP,1,1,0.009171934,3.984565101389014,umol_m2_s1
UP 1-2,co2,29.812116228215505,6.38958845846386e-5,2023-05-18,297.6,UP,1,2,0.009551964,3.874507779860543,umol_m2_s1
UP 1-3,co2,32.77430223859923,1.8931590472016376e-4,2023-05-18,298,UP,1,3,0.007968503,3.5486070595827983,umol_m2_s1
UP 1-4,co2,31.83681920734414,1.2400162657625202e-5,2023-05-18,295.95,UP,1,4,0.007905165,3.4433902660670914,umol_m2_s1
UP 2-1,co2,23.156526683680628,4.0592913127215376e-4,2023-05-18,301.5,UP,2,1,0.00891858,2.773612564834945,umol_m2_s1
UP 2-2,co2,22.239159693741048,3.790333492983216e-4,2023-05-18,301.75,UP,2,2,0.006765073,2.018866322059307,umol_m2_s1
UP 2-3,co2,15.516829632417796,0.00179658053061448,2023-05-18,301.65,UP,2,3,0.008981918,1.870823124636022,umol_m2_s1
UP 2-4,co2,27.90117287878383,1.5656493472580851e-4,2023-05-18,301.6,UP,2,4,0.008475211,3.174721429690013,umol_m2_s1
SW 1-1,ch4,0.06083475080005148,0.00132009614120519,2023-05-18,295.65,SW,1,1,0.006385043,5.319877816476627,nmol_m2_s1
SW 1-2,ch4,0.3120427284531942,0.01456157177262522,2023-05-18,296.55,SW,1,2,0.007651811,32.602008333386074,nmol_m2_s1
SW 1-3,ch4,0.19788398316440753,2.3080981198949152e-4,2023-05-18,297.05,SW,1,3,0.006955088,18.760642065590535,nmol_m2_s1
SW 1-4,ch4,0.07754441260855578,3.0017050574775644e-4,2023-05-18,294.1,SW,1,4,0.01012201,10.80652915598238,nmol_m2_s1
SW 2-1,ch4,3.793771119486266e-4,0.6259996619068069,2023-05-18,304.15,SW,2,1,0.007588473,0.038326722295706155,nmol_m2_s1
SW 2-2,ch4,0.00406709430927125,0.02217064985395727,2023-05-18,304.35,SW,2,2,0.007145104,0.38661924904747363,nmol_m2_s1
SW 2-3,ch4,8.562241605123131e-4,0.5837177769046386,2023-05-18,304.6,SW,2,3,0.007081765,0.08060520222835829,nmol_m2_s1
SW 2-4,ch4,0.00141731508428759,0.3062524101253645,2023-05-18,303.95,SW,2,4,0.008538549,0.1612175503950658,nmol_m2_s1
UP 1-1,ch4,-0.00287054717012153,0.03646613016199547,2023-05-18,297.45,UP,1,1,0.009171934,-0.358406285043989,nmol_m2_s1
UP 1-2,ch4,-0.00407822934149418,0.02162560706787064,2023-05-18,297.6,UP,1,2,0.009551964,-0.5300238061167845,nmol_m2_s1
UP 1-3,ch4,-0.0019860936673228,0.08308639648914005,2023-05-18,298,UP,1,3,0.007968503,-0.2150424426291494,nmol_m2_s1
UP 1-4,ch4,-0.0041735604749173,0.05585707940430697,2023-05-18,295.95,UP,1,4,0.007905165,-0.45140180055604995,nmol_m2_s1
UP 2-1,ch4,-0.00226102556656217,5.741357493621568e-4,2023-05-18,301.5,UP,2,1,0.00891858,-0.2708182019909518,nmol_m2_s1
UP 2-2,ch4,-0.00270647436433851,0.06636610052263263,2023-05-18,301.75,UP,2,2,0.006765073,-0.24569318359711545,nmol_m2_s1
UP 2-3,ch4,-0.00500948003773276,0.03751867592097616,2023-05-18,301.65,UP,2,3,0.008981918,-0.6039797638438515,nmol_m2_s1
UP 2-4,ch4,0.0105419003843485,0.2389337858037019,2023-05-18,301.6,UP,2,4,0.008475211,1.1995050245825856,nmol_m2_s1
SW 1-1,n2o,6.89365578130823e-4,9.291918505872702e-5,2023-05-18,295.65,SW,1,1,0.006385043,0.06028364706538169,nmol_m2_s1
SW 1-2,n2o,-0.0072825538473747,0.27527243368496573,2023-05-18,296.55,SW,1,2,0.007651811,-0.7608761864036074,nmol_m2_s1
SW 1-3,n2o,-0.00713379197936869,0.301814473161266,2023-05-18,297.05,SW,1,3,0.006955088,-0.6763281987513015,nmol_m2_s1
SW 1-4,n2o,-0.00747392533953147,0.28845395691893294,2023-05-18,294.1,SW,1,4,0.01012201,-1.0415604345215064,nmol_m2_s1
SW 2-1,n2o,0.0057451218371634,0.532596722760298,2023-05-18,304.15,SW,2,1,0.007588473,0.5804031984875674,nmol_m2_s1
SW 2-2,n2o,0.00441448343775797,0.6991380909965437,2023-05-18,304.35,SW,2,2,0.007145104,0.4196421675661389,nmol_m2_s1
SW 2-3,n2o,-0.00789306420065853,0.2630775012116411,2023-05-18,304.6,SW,2,3,0.007081765,-0.743055458415024,nmol_m2_s1
SW 2-4,n2o,0.01110841255359942,0.0978824423609287,2023-05-18,303.95,SW,2,4,0.008538549,1.263565935706719,nmol_m2_s1
