row,date_collected,site,ecosystem,chamber_no,timepoint,gc_run_date,filename,chamber,co2_height,ch4_height,n2o_height,site_str,eco_str,tp_str,chamber_str,is_std,qc_co2_low,qc_ch4_low,qc_n2o_low,qc_any_low,mean_co2_height,mean_ch4_height,mean_n2o_height,co2_precision,ch4_precision,n2o_precision,n_std_used,n_std_total,n_std_dropped_low,qc_flag,co2_ppm,ch4_ppm,n2o_ppm,date,ecosystem_name,ecosystem_block,rep,time_point,total_vol_m3,average_temp_kelvin,n_air_mol,co2_mol,ch4_mol,n2o_mol,co2_umol,ch4_nmol,n2o_nmol,min_elapsed
8,2022-09-02,JWP,SW-2,1,T0,2022-10-25,220902_008,1,784632,2772,154,JWP,SW-2,T0,1,FALSE,FALSE,FALSE,FALSE,FALSE,1018682.8571428572,10059.285714285714,9272.57142857143,1.055005862690367,2.9267596485155196,93.34670183522915,7,9,2,WARN,768.7012012711093,2.78321948448484,0.0166081222653602,220902,SW,2,1,0,0.01285263521,305.6,0.5125323601532324,3.9398424094010657e-4,1.4264900512074778e-6,8.512200102378511e-9,393.9842409401066,1426.4900512074778,8.512200102378511,6.37
9,2022-09-02,JWP,SW-2,1,T1,2022-10-25,220902_009,1,958201,2328,5395,JWP,SW-2,T1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1018682.8571428572,10059.285714285714,9272.57142857143,1.055005862690367,2.9267596485155196,93.34670183522915,7,9,2,WARN,938.7461380101475,2.3374224241993895,0.5818235040364824,220902,SW,2,1,1,0.01285263521,305.6,0.5125323601532324,4.81137773699073e-4,1.1980046317500032e-6,2.982033737164421e-7,481.13777369907297,1198.0046317500032,298.20337371644206,11.97
10,2022-09-02,JWP,SW-2,1,T2,2022-10-25,220902_010,1,934083,2109,4562,JWP,SW-2,T2,1,FALSE,FALSE,FALSE,FALSE,FALSE,1018682.8571428572,10059.285714285714,9272.57142857143,1.055005862690367,2.9267596485155196,93.34670183522915,7,9,2,WARN,915.1178185275664,2.11753603635589,0.49198866087385223,220902,SW,2,1,2,0.01285263521,305.6,0.5125323601532324,4.690274953482111e-4,1.0853057424230054e-6,2.5216010952630374e-7,469.02749534821106,1085.3057424230053,252.16010952630373,16.38
11,2022-09-02,JWP,SW-2,1,T3,2022-10-25,220902_011,1,342863,1106,2168,JWP,SW-2,T3,1,FALSE,FALSE,FALSE,FALSE,FALSE,1018682.8571428572,10059.285714285714,9272.57142857143,1.055005862690367,2.9267596485155196,93.34670183522915,7,9,2,WARN,335.9016710654375,1.1104764609813251,0.2338078511123436,220902,SW,2,1,3,0.01285263521,305.6,0.5125323601532324,1.721604762505834e-4,5.691551214413675e-7,1.1983408975296503e-7,172.1604762505834,569.1551214413676,119.83408975296503,26.57
12,2022-09-02,JWP,SW-2,1,T4,2022-10-25,220902_012,1,24454,0,249,JWP,SW-2,T4,1,FALSE,FALSE,FALSE,FALSE,FALSE,1018682.8571428572,10059.285714285714,9272.57142857143,1.055005862690367,2.9267596485155196,93.34670183522915,7,9,2,WARN,23.957497496767537,0,0.02685339249399149,220902,SW,2,1,4,0.01285263521,305.6,0.5125323601532324,1.2278992735383422e-5,0,1.3763232633066555e-8,12.278992735383422,0,13.763232633066556,36.55
13,2022-09-02,JWP,SW-1,2,T0,2022-10-25,220902_013,2,363822,1242,72,JWP,SW-1,T0,2,FALSE,FALSE,FALSE,FALSE,FALSE,1018682.8571428572,10059.285714285714,9272.57142857143,1.055005862690367,2.9267596485155196,93.34670183522915,7,9,2,WARN,356.43512939678413,1.2470269118795712,0.00776483638380477,220902,SW,1,2,0,0.01291597364,306.5,0.5135457396458284,1.8304574216182807e-4,6.404053578194476e-7,3.98759864394986e-9,183.04574216182806,640.4053578194477,3.98759864394986,1.28
14,2022-09-02,JWP,SW-1,2,T1,2022-10-25,220902_014,2,729303,2267,5392,JWP,SW-1,T1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1018682.8571428572,10059.285714285714,9272.57142857143,1.055005862690367,2.9267596485155196,93.34670183522915,7,9,2,WARN,714.4955752386135,2.276175530781794,0.5814999691871572,220902,SW,1,2,1,0.01291597364,306.5,0.5135457396458284,3.6692615865958536e-4,1.1689202465190725e-6,2.9862683178024505e-7,366.9261586595854,1168.9202465190724,298.626831780245,7.13
15,2022-09-02,JWP,SW-1,2,T2,2022-10-25,220902_015,2,867899,2315,5262,JWP,SW-1,T2,2,FALSE,FALSE,FALSE,FALSE,FALSE,1018682.8571428572,10059.285714285714,9272.57142857143,1.055005862690367,2.9267596485155196,93.34670183522915,7,9,2,WARN,850.2775873046147,2.32436980756941,0.5674801257163986,220902,SW,1,2,2,0.01291597364,306.5,0.5135457396458284,4.3665643247661875e-4,1.1936702120386643e-6,2.914270008953356e-7,436.65643247661876,1193.6702120386644,291.4270008953356,12.47
16,2022-09-02,JWP,SW-1,2,T3,2022-10-25,220902_016,2,1076151,2234,5716,JWP,SW-1,T3,2,FALSE,FALSE,FALSE,FALSE,FALSE,1018682.8571428572,10059.285714285714,9272.57142857143,1.055005862690367,2.9267596485155196,93.34670183522915,7,9,2,WARN,1054.3013367401604,2.2430419654903075,0.6164417329142786,220902,SW,1,2,3,0.01291597364,306.5,0.5135457396458284,5.414319597858113e-4,1.1519046452243527e-6,3.165710256780194e-7,541.4319597858113,1151.9046452243526,316.5710256780194,21.53
17,2022-09-02,JWP,SW-1,2,T4,2022-10-25,220902_017,2,0,0,0,JWP,SW-1,T4,2,FALSE,FALSE,FALSE,FALSE,FALSE,1018682.8571428572,10059.285714285714,9272.57142857143,1.055005862690367,2.9267596485155196,93.34670183522915,7,9,2,WARN,0,0,0,220902,SW,1,2,4,0.01291597364,306.5,0.5135457396458284,0,0,0,0,0,0,31.5
