DATE COLLECTED,SITE ,ECOSYSTEM,CHAMBER #,TIME POINT,GC RUN DATE,FILENAME,NOTES
8/12/22,STD,STD,STD,STD,10/6/22,220812_001,
8/12/22,STD,STD,STD,STD,10/6/22,220812_002,
8/12/22,STD,STD,STD,STD,10/6/22,220812_003,
8/12/22,STD,STD,STD,STD,10/6/22,220812_004,
8/12/22,STD,STD,STD,STD,10/6/22,220812_005,
8/12/22,JWP,SW-1,1,T0,10/6/22,220812_006,
8/12/22,JWP,SW-1,1,T1,10/6/22,220812_007,not full sample
8/12/22,JWP,SW-1,1,T2,10/6/22,220812_008,
8/12/22,JWP,SW-1,1,T3,10/6/22,220812_009,
8/12/22,JWP,SW-1,1,T4,10/6/22,220812_010,
8/12/22,JWP,SW-1,2,T0,10/6/22,220812_011,
8/12/22,JWP,SW-1,2,T1,10/6/22,220812_012,
8/12/22,JWP,SW-1,2,T2,10/6/22,220812_013,
8/12/22,JWP,SW-1,2,T3,10/6/22,220812_014,
8/12/22,JWP,SW-1,2,T4,10/6/22,220812_015,
8/12/22,STD,N/A,N/A,N/A,10/6/22,220812_016,
8/12/22,JWP,SW-1,3,T0,10/6/22,220812_017,
8/12/22,JWP,SW-1,3,T1,10/6/22,220812_018,
8/12/22,JWP,SW-1,3,T2,10/6/22,220812_019,
8/12/22,JWP,SW-1,3,T3,10/6/22,220812_020,
8/12/22,JWP,SW-1,3,T4,10/6/22,220812_021,
8/12/22,STD,N/A,N/A,N/A,10/6/22,220812_022,
8/12/22,JWP,SW-1,4,T0,10/6/22,220812_023,
8/12/22,JWP,SW-1,4,T1,10/6/22,220812_024,
8/12/22,JWP,SW-1,4,T2,10/10/22,220812_025,
8/12/22,JWP,SW-1,4,T3,10/10/22,220812_026,
8/12/22,JWP,SW-1,4,T4,10/10/22,220812_027,
8/12/22,STD,N/A,N/A,N/A,10/10/22,220812_028,
8/12/22,STD,N/A,N/A,N/A,10/10/22,220812_029,
8/12/22,STD,N/A,N/A,N/A,10/10/22,220812_030,
8/12/22,STD,N/A,N/A,N/A,10/10/22,220812_031,
8/12/22,STD,N/A,N/A,N/A,10/10/22,220812_032,
8/12/22,JWP,UP-1,1,T0,10/10/22,220812_033,
8/12/22,JWP,UP-1,1,T1,10/10/22,220812_034,
8/12/22,JWP,UP-1,1,T2,10/10/22,220812_035,
8/12/22,JWP,UP-1,1,T3,10/10/22,220812_036,
8/12/22,JWP,UP-1,1,T4,10/10/22,220812_037,
