DATE COLLECTED,SITE ,ECOSYSTEM,CHAMBER #,TIME POINT,GC RUN DATE,FILENAME,NOTES
10/19/22,JWP,SW-1,1,T0,12/2/22,221019_001,
N/A,STD,STD,STD,STD,12/5/22,221019_002,
N/A,STD,STD,STD,STD,12/5/22,221019_003,
N/A,STD,STD,STD,STD,12/5/22,221019_004,
N/A,STD,STD,STD,STD,12/5/22,221019_005,
N/A,STD,STD,STD,STD,12/5/22,221019_006,
10/19/22,JWP,SW-1,1,T1,12/5/22,221019_007,
10/19/22,JWP,SW-1,1,T2,12/5/22,221019_008,
10/19/22,JWP,SW-1,1,T3,12/5/22,221019_009,
10/19/22,JWP,SW-1,1,T4,12/5/22,221019_010,
10/19/22,JWP,SW-1,2,T0,12/5/22,221019_011,
10/19/22,JWP,SW-1,2,T1,12/5/22,221019_012,
10/19/22,JWP,SW-1,2,T2,12/5/22,221019_013,
10/19/22,JWP,SW-1,2,T3,12/5/22,221019_014,
10/19/22,JWP,SW-1,2,T4,12/5/22,221019_015,
N/A,STD,STD,STD,STD,12/5/22,221019_016,
10/19/22,JWP,SW-1,3,T0,12/5/22,221019_017,
10/19/22,JWP,SW-1,3,T1,12/5/22,221019_018,
10/19/22,JWP,SW-1,3,T2,12/5/22,221019_019,
10/19/22,JWP,SW-1,3,T3,12/5/22,221019_020,
10/19/22,JWP,SW-1,3,T4,12/5/22,221019_021,
10/19/22,JWP,SW-1,4,T0,12/5/22,221019_022,
10/19/22,JWP,SW-1,4,T1,12/5/22,221019_023,
10/19/22,JWP,SW-1,4,T2,12/5/22,221019_024,
10/19/22,JWP,SW-1,4,T3,12/5/22,221019_025,
10/19/22,JWP,SW-1,4,T4,12/5/22,221019_026,
N/A,STD,STD,STD,STD,12/5/22,221019_027,
10/19/22,JWP,UP-1,1,T0,12/5/22,221019_028,
N/A,STD,STD,STD,STD,12/6/22,221019_029,
N/A,STD,STD,STD,STD,12/6/22,221019_030,
N/A,STD,STD,STD,STD,12/6/22,221019_031,
N/A,STD,STD,STD,STD,12/6/22,221019_032,
N/A,STD,STD,STD,STD,12/6/22,221019_033,
N/A,STD,STD,STD,STD,12/6/22,221019_034,
N/A,STD,STD,STD,STD,12/6/22,221019_035,
10/19/22,JWP,UP-1,1,T0,12/6/22,221019_036,
10/19/22,JWP,UP-1,1,T1,12/6/22,221019_037,
10/19/22,JWP,UP-1,1,T2,12/6/22,221019_038,
10/19/22,JWP,UP-1,1,T3,12/6/22,221019_039,
10/19/22,JWP,UP-1,1,T4,12/6/22,221019_040,
10/19/22,JWP,UP-1,2,T0,12/6/22,221019_041,
10/19/22,JWP,UP-1,2,T1,12/6/22,221019_042,
10/19/22,JWP,UP-1,2,T2,12/6/22,221019_043,
10/19/22,JWP,UP-1,2,T3,12/6/22,221019_044,
10/19/22,JWP,UP-1,2,T4,12/6/22,221019_045,
N/A,STD,STD,STD,STD,12/6/22,221019_046,
N/A,STD,STD,STD,STD,12/6/22,221019_047,
10/19/22,JWP,UP-1,3,T0,12/6/22,221019_048,
10/19/22,JWP,UP-1,3,T1,12/6/22,221019_049,
10/19/22,JWP,UP-1,3,T2,12/6/22,221019_050,
10/19/22,JWP,UP-1,3,T3,12/6/22,221019_051,
10/19/22,JWP,UP-1,3,T4,12/6/22,221019_052,
N/A,STD,STD,STD,STD,12/7/22,221019_053,
N/A,STD,STD,STD,STD,12/7/22,221019_054,
N/A,STD,STD,STD,STD,12/7/22,221019_055,
N/A,STD,STD,STD,STD,12/7/22,221019_056,
N/A,STD,STD,STD,STD,12/7/22,221019_057,
10/19/22,JWP,UP-1,4,T0,12/7/22,221019_058,
10/19/22,JWP,UP-1,4,T1,12/7/22,221019_059,
10/19/22,JWP,UP-1,4,T2,12/7/22,221019_060,
10/19/22,JWP,UP-1,4,T3,12/7/22,221019_061,
10/19/22,JWP,UP-1,4,T4,12/7/22,221019_062,
N/A,STD,STD,STD,STD,12/7/22,221019_063,
10/19/22,JWP,SW-2,1,T0,12/7/22,221019_064,
10/19/22,JWP,SW-2,1,T1,12/7/22,221019_065,
10/19/22,JWP,SW-2,1,T2,12/7/22,221019_066,
10/19/22,JWP,SW-2,1,T3,12/7/22,221019_067,
10/19/22,JWP,SW-2,1,T4,12/7/22,221019_068,
N/A,STD,STD,STD,STD,12/7/22,221019_069,
10/19/22,JWP,SW-2,2,T0,12/7/22,221019_070,
10/19/22,JWP,SW-2,2,T1,12/7/22,221019_071,
10/19/22,JWP,SW-2,2,T2,12/7/22,221019_072,
10/19/22,JWP,SW-2,2,T3,12/7/22,221019_073,
10/19/22,JWP,SW-2,2,T4,12/7/22,221019_074,
10/19/22,JWP,SW-2,3,T0,12/7/22,221019_075,
10/19/22,JWP,SW-2,3,T1,12/7/22,221019_076,
10/19/22,JWP,SW-2,3,T2,12/7/22,221019_077,
10/19/22,JWP,SW-2,3,T3,12/7/22,221019_078,
10/19/22,JWP,SW-2,3,T4,12/7/22,221019_079,
N/A,STD,STD,STD,STD,12/7/22,221019_080,
10/19/22,JWP,SW-2,4,T0,12/7/22,221019_081,
