date,ecosystem_name,ecosystem_block,rep,row,date_collected,site,ecosystem,chamber_no,timepoint,gc_run_date,filename,chamber,co2_height,ch4_height,n2o_height,site_str,eco_str,tp_str,chamber_str,is_std,qc_co2_low,qc_ch4_low,qc_n2o_low,qc_any_low,mean_co2_height,mean_ch4_height,mean_n2o_height,co2_precision,ch4_precision,n2o_precision,n_std_used,n_std_total,n_std_dropped_low,qc_flag,co2_ppm,ch4_ppm,n2o_ppm,time_point,total_vol_m3,average_temp_kelvin,n_air_mol,co2_mol,ch4_mol,n2o_mol,min_elapsed,ch4_nmol,co2_umol,n2o_nmol
221019,SW,1,1,7,2022-10-19,JWP,SW-1,1,T1,2022-12-05,221019_007,1,540391,2635,5900,JWP,SW-1,T1,1,FALSE,FALSE,FALSE,FALSE,FALSE,981459.8571428572,10209.857142857143,14655.42857142857,1.8530257551414353,2.55524850971913,43.57340086473221,7,7,0,WARN,549.4979892198488,2.6066476374372107,0.40258119858073066,1,0.01164920494,285.4,0.4974217561682402,2.733322548086539e-4,1.2966032455258114e-6,2.0025264679834208e-7,6.02,NA,273.3322548086539,200.25264679834208
221019,SW,1,1,8,2022-10-19,JWP,SW-1,1,T2,2022-12-05,221019_008,1,545951,2396,5666,JWP,SW-1,T2,1,FALSE,FALSE,FALSE,FALSE,FALSE,981459.8571428572,10209.857142857143,14655.42857142857,1.8530257551414353,2.55524850971913,43.57340086473221,7,7,0,WARN,555.1516896331835,2.37021925590116,0.38661441884041015,2,0.01164920494,285.4,0.4974217561682402,0.00027614452839710394,1.1789986247741345e-6,1.9231042317956038e-7,10.08,1178.9986247741344,276.14452839710395,192.3104231795604
221019,SW,1,1,9,2022-10-19,JWP,SW-1,1,T3,2022-12-05,221019_009,1,590967,2374,5294,JWP,SW-1,T3,1,FALSE,FALSE,FALSE,FALSE,FALSE,981459.8571428572,10209.857142857143,14655.42857142857,1.8530257551414353,2.55524850971913,43.57340086473221,7,7,0,WARN,600.9263259293481,2.348455973918762,0.3612313330993878,3,0.01164920494,285.4,0.4974217561682402,2.989138283715046e-4,1.1681730948304655e-6,1.7968432409329204e-7,20.02,1168.1730948304655,298.9138283715046,179.68432409329205
221019,SW,1,1,10,2022-10-19,JWP,SW-1,1,T4,2022-12-05,221019_010,1,613586,2321,225,JWP,SW-1,T4,1,FALSE,FALSE,FALSE,FALSE,FALSE,981459.8571428572,10209.857142857143,14655.42857142857,1.8530257551414353,2.55524850971913,43.57340086473221,7,7,0,WARN,623.9265147151787,2.2960262491429853,0.01535267282723125,4,0.01164920494,285.4,0.4974217561682402,3.103546226695535e-4,1.142093409057081e-6,7.636753479597789e-9,30,1142.093409057081,310.3546226695535,NA
221019,SW,1,2,11,2022-10-19,JWP,SW-1,2,T0,2022-12-05,221019_011,2,459917,2434,481,JWP,SW-1,T0,2,FALSE,FALSE,FALSE,FALSE,FALSE,981459.8571428572,10209.857142857143,14655.42857142857,1.8530257551414353,2.55524850971913,43.57340086473221,7,7,0,WARN,467.66779370497505,2.407810379325302,0.0328206027995477,0,0.01291597364,285.25,0.5518028718718542,2.5806043164837905e-4,1.32863668223456e-6,1.811050288135584e-8,0.45,NA,258.06043164837905,18.11050288135584
221019,SW,1,2,12,2022-10-19,JWP,SW-1,2,T1,2022-12-05,221019_012,2,484919,2350,5253,JWP,SW-1,T1,2,FALSE,FALSE,FALSE,FALSE,FALSE,981459.8571428572,10209.857142857143,14655.42857142857,1.8530257551414353,2.55524850971913,43.57340086473221,7,7,0,WARN,493.0911422183194,2.324714211756146,0.358433734939759,1,0.01291597364,285.25,0.5518028718718542,2.7208910837064155e-4,1.282783978328355e-6,1.9778476431551396e-7,5.12,1282.783978328355,272.08910837064155,NA
221019,SW,1,2,14,2022-10-19,JWP,SW-1,2,T3,2022-12-05,221019_014,2,558651,2366,248,JWP,SW-1,T3,2,FALSE,FALSE,FALSE,FALSE,FALSE,981459.8571428572,10209.857142857143,14655.42857142857,1.8530257551414353,2.55524850971913,43.57340086473221,7,7,0,WARN,568.0657175557286,2.34054205319789,0.01692205716068156,3,0.01291597364,285.25,0.5518028718718542,3.134602943591966e-4,1.2915178266914418e-6,9.337639739243758e-9,20.02,1291.5178266914418,313.46029435919655,9.337639739243757
221019,SW,1,2,15,2022-10-19,JWP,SW-1,2,T4,2022-12-05,221019_015,2,596140,2360,445,JWP,SW-1,T4,2,FALSE,FALSE,FALSE,FALSE,FALSE,981459.8571428572,10209.857142857143,14655.42857142857,1.8530257551414353,2.55524850971913,43.57340086473221,7,7,0,WARN,606.1865043894526,2.334606612657236,0.0303641751471907,4,0.01291597364,285.25,0.5518028718718542,3.3449545401206023e-4,1.2882426335552843e-6,1.675503904823981e-8,30.03,1288.2426335552843,334.49545401206024,16.75503904823981
221019,SW,1,2,13,2022-10-19,JWP,SW-1,2,T2,2022-12-05,221019_013,2,481614,2307,206,JWP,SW-1,T2,2,FALSE,FALSE,FALSE,FALSE,FALSE,981459.8571428572,10209.857142857143,14655.42857142857,1.8530257551414353,2.55524850971913,43.57340086473221,7,7,0,WARN,489.7304444006807,2.2821768878814592,0.01405622489959839,2,0.01291597364,285.25,0.5518028718718542,2.70234665663375e-4,1.2593117608525597e-6,7.756265267275056e-9,10.02,NA,270.234665663375,7.756265267275056
221019,SW,1,3,17,2022-10-19,JWP,SW-1,3,T0,2022-12-05,221019_017,3,477372,2605,5831,JWP,SW-1,T0,3,FALSE,FALSE,FALSE,FALSE,FALSE,981459.8571428572,10209.857142857143,14655.42857142857,1.8530257551414353,2.55524850971913,43.57340086473221,7,7,0,WARN,485.41695570403215,2.5769704347339406,0.3978730455803798,0,0.01221925086,285.15,0.5222201973253113,2.5349453839281156e-4,1.3457460089282519e-6,2.077773403734085e-7,0.65,1345.746008928252,253.49453839281156,207.7773403734085
